# export_mt_object_to_txt
# station_id: 08-36
# lat: 45.846000000000004
# lon: 84.14533330555557
# profile_pos_m: -16829.738075399724
# n_freq: 39
# columns: freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
1.187840e+00	8.418642e-01	-2.178459e-02	-2.007055e-02	5.690857e-02	4.403384e-02	-2.609696e-02	-2.204806e-02	1.881561e-02	8.839108e-03	5.763421e-03	5.931078e-03	5.499161e-03	5.659131e-03	9.355083e+01	5.520493e+02	1.244473e+02	4.607801e+01	4.265496e+01	3.773144e+01	4.019285e+01	2.516298e+01	3.640494e+01	9.100782e+01	4.006318e+01	2.508723e+01	1.114821e+01	4.722734e+00	9.222580e+00	1.559738e+01	1.690040e-01	7.159541e-02	1.398119e-01	2.364522e-01	1.238690e-01	5.247483e-02	1.024731e-01	1.733042e-01
1.414400e+00	7.070136e-01	-2.424764e-02	-2.698811e-02	6.833691e-02	5.327111e-02	-4.009906e-02	-3.522868e-02	1.490959e-02	5.953829e-03	3.911344e-03	3.961875e-03	3.696828e-03	3.744588e-03	1.178677e+02	6.722758e+02	2.551113e+02	2.307952e+01	4.806169e+01	3.793772e+01	4.130064e+01	2.176824e+01	2.541397e+01	6.147853e+01	3.533809e+01	1.076630e+01	6.176894e+00	2.619803e+00	3.968314e+00	1.336387e+01	9.364009e-02	3.971553e-02	6.015859e-02	2.025928e-01	6.863216e-02	2.910892e-02	4.409237e-02	1.484875e-01
1.684170e+00	5.937643e-01	-2.820775e-02	-2.830048e-02	7.307468e-02	6.682913e-02	-3.347696e-02	-2.663514e-02	1.979050e-02	1.806158e-02	3.536657e-03	3.707834e-03	3.374351e-03	3.537672e-03	1.200657e+02	7.374253e+02	1.376284e+02	5.398573e+01	4.509402e+01	4.244391e+01	3.850667e+01	4.238478e+01	2.125419e+01	5.522319e+01	2.171133e+01	1.425605e+01	5.071289e+00	2.145340e+00	4.519298e+00	7.565068e+00	7.687941e-02	3.252279e-02	6.851137e-02	1.146845e-01	5.634765e-02	2.383711e-02	5.021442e-02	8.405632e-02
2.005380e+00	4.986586e-01	-3.711387e-02	-3.333616e-02	8.432006e-02	7.536074e-02	-4.140937e-02	-3.040148e-02	2.716482e-02	2.278831e-02	3.479809e-03	3.625100e-03	3.372405e-03	3.513212e-03	1.571784e+02	8.077073e+02	1.666674e+02	7.940173e+01	4.193059e+01	4.178863e+01	3.628496e+01	3.999296e+01	2.192748e+01	5.178260e+01	2.188275e+01	1.573462e+01	3.996579e+00	1.836633e+00	3.761351e+00	5.676999e+00	6.058708e-02	2.784288e-02	5.702110e-02	8.606182e-02	4.440643e-02	2.040704e-02	4.179279e-02	6.307777e-02
2.387870e+00	4.187833e-01	-3.907933e-02	-3.453786e-02	8.619057e-02	7.960205e-02	-6.022449e-02	-4.750189e-02	1.552841e-02	2.415612e-02	3.227756e-03	3.275550e-03	3.059791e-03	3.105097e-03	1.442706e+02	7.301049e+02	3.120537e+02	4.373902e+01	4.146988e+01	4.272429e+01	3.826451e+01	5.726565e+01	1.785745e+01	4.076680e+01	2.489638e+01	9.458875e+00	3.545964e+00	1.599610e+00	2.285596e+00	6.195311e+00	5.375588e-02	2.424966e-02	3.464904e-02	9.391929e-02	3.939960e-02	1.777344e-02	2.539552e-02	6.883679e-02
2.843310e+00	3.517028e-01	-4.515044e-02	-3.882614e-02	9.896663e-02	9.659719e-02	-8.803291e-02	-6.500320e-02	7.870924e-03	2.794732e-02	1.795677e-03	1.768285e-03	1.638542e-03	1.613546e-03	1.579533e+02	8.519160e+02	5.334198e+02	3.755050e+01	4.069317e+01	4.430584e+01	3.644203e+01	7.427096e+01	9.526112e+00	2.178581e+01	1.597405e+01	4.173615e+00	1.727745e+00	7.326043e-01	8.579039e-01	3.184119e+00	2.619216e-02	1.110609e-02	1.300560e-02	4.827040e-02	1.919717e-02	8.140048e-03	9.532266e-03	3.537910e-02
3.385610e+00	2.953677e-01	-5.519763e-02	-4.163255e-02	1.111345e-01	1.126058e-01	-9.889230e-02	-7.038834e-02	1.084174e-02	3.357273e-02	1.762311e-03	1.723848e-03	1.598480e-03	1.563593e-03	1.788157e+02	9.363764e+02	5.511883e+02	4.656161e+01	3.702525e+01	4.537677e+01	3.544203e+01	7.210303e+01	9.115950e+00	2.040520e+01	1.451690e+01	4.127189e+00	1.460458e+00	6.242852e-01	7.545127e-01	2.539329e+00	2.214016e-02	9.463999e-03	1.143821e-02	3.849556e-02	1.622731e-02	6.936502e-03	8.383474e-03	2.821477e-02
4.031340e+00	2.480565e-01	-5.911155e-02	-4.458153e-02	1.175298e-01	1.264110e-01	-1.039109e-01	-7.347313e-02	1.204735e-02	4.139835e-02	1.709158e-03	1.677155e-03	1.550687e-03	1.521652e-03	1.722167e+02	9.359976e+02	5.088183e+02	5.840248e+01	3.702335e+01	4.708506e+01	3.526329e+01	7.377445e+01	7.951153e+00	1.818951e+01	1.239984e+01	4.122317e+00	1.322658e+00	5.567227e-01	6.981455e-01	2.022101e+00	2.005115e-02	8.439770e-03	1.058370e-02	3.065452e-02	1.469620e-02	6.185808e-03	7.757172e-03	2.246779e-02
4.800240e+00	2.083229e-01	-6.667748e-02	-4.115382e-02	1.330551e-01	1.417097e-01	-1.148077e-01	-7.684008e-02	1.621998e-02	4.884922e-02	1.706908e-03	1.659931e-03	1.540643e-03	1.498242e-03	1.619877e+02	9.969431e+02	5.035519e+02	6.990110e+01	3.168318e+01	4.680411e+01	3.379415e+01	7.163168e+01	7.057565e+00	1.702664e+01	1.123124e+01	4.069373e+00	1.248146e+00	4.892729e-01	6.389637e-01	1.667770e+00	1.892157e-02	7.417248e-03	9.686522e-03	2.528296e-02	1.386829e-02	5.436365e-03	7.099597e-03	1.853078e-02
5.715780e+00	1.749542e-01	-7.669234e-02	-4.555652e-02	1.459942e-01	1.569274e-01	-1.272674e-01	-8.427665e-02	2.039098e-02	5.575866e-02	9.953295e-04	9.549573e-04	8.975580e-04	8.611516e-04	1.763154e+02	1.017960e+03	5.162763e+02	7.810372e+01	3.071102e+01	4.706705e+01	3.351258e+01	6.991250e+01	3.934680e+00	9.070824e+00	6.071570e+00	2.265755e+00	6.393104e-01	2.552752e-01	3.369081e-01	8.310627e-01	9.691777e-03	3.869904e-03	5.107438e-03	1.259869e-02	7.103449e-03	2.836391e-03	3.743423e-03	9.234030e-03
