# export_mt_object_to_txt
# station_id: 08-24
# lat: 45.757
# lon: 84.25633330555556
# profile_pos_m: -3739.9094033219208
# n_freq: 39
# columns: freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
1.187840e+00	8.418642e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.414400e+00	7.070136e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1.684170e+00	5.937643e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2.005380e+00	4.986586e-01	-3.442387e-02	-5.199534e-02	1.435865e-01	1.149487e-01	-7.469251e-02	-1.696806e-01	2.255254e-02	1.450294e-02	1.514627e-02	1.596871e-02	1.477793e-02	1.558037e-02	2.455826e+02	2.136580e+03	2.170697e+03	4.540605e+01	5.649318e+01	3.867915e+01	6.624116e+01	3.274400e+01	1.193003e+02	3.709935e+02	3.460590e+02	5.276811e+01	1.391670e+01	4.974390e+00	4.567131e+00	3.329281e+01	2.109736e-01	7.541044e-02	6.923651e-02	5.047102e-01	1.546300e-01	5.527099e-02	5.074591e-02	3.699201e-01
2.387870e+00	4.187833e-01	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2.843310e+00	3.517028e-01	-2.762186e-02	-6.146854e-02	1.217632e-01	1.424579e-01	-7.449708e-02	-2.314054e-01	1.024765e-02	1.318729e-02	7.911310e-03	8.321112e-03	7.607177e-03	8.001225e-03	2.022884e+02	1.564398e+03	2.632455e+03	1.242407e+01	6.580248e+01	4.947846e+01	7.215491e+01	5.214975e+01	4.749598e+01	1.389243e+02	1.647506e+02	1.190451e+01	6.726336e+00	2.544037e+00	1.792911e+00	2.744986e+01	1.019695e-01	3.856693e-02	2.718006e-02	4.161326e-01	7.473707e-02	2.826708e-02	1.992123e-02	3.049984e-01
3.385610e+00	2.953677e-01	-2.352409e-02	-7.106525e-02	1.281359e-01	1.760862e-01	-1.010861e-01	-2.735498e-01	-2.192091e-03	3.217195e-02	7.810803e-03	8.147138e-03	7.385368e-03	7.703384e-03	2.096257e+02	1.774117e+03	3.181537e+03	3.889912e+01	7.168437e+01	5.395705e+01	6.971898e+01	8.610208e+01	4.374562e+01	1.327434e+02	1.611415e+02	1.858524e+01	5.978369e+00	2.143499e+00	1.450985e+00	1.368740e+01	9.063050e-02	3.249488e-02	2.199655e-02	2.074974e-01	6.642632e-02	2.381665e-02	1.612206e-02	1.520822e-01
4.031340e+00	2.480565e-01	-2.067995e-02	-7.890843e-02	1.352044e-01	2.019525e-01	-1.498901e-01	-2.996681e-01	7.205737e-03	3.608424e-02	6.977953e-03	7.233967e-03	6.490649e-03	6.728784e-03	2.090531e+02	1.855630e+03	3.527092e+03	4.253809e+01	7.531446e+01	5.619825e+01	6.342637e+01	7.870703e+01	3.576571e+01	1.104670e+02	1.366492e+02	1.555736e+01	4.901204e+00	1.705430e+00	1.109897e+00	1.047733e+01	7.430096e-02	2.585387e-02	1.682575e-02	1.588336e-01	5.445782e-02	1.894922e-02	1.233219e-02	1.164148e-01
4.800240e+00	2.083229e-01	-1.865551e-02	-7.238502e-02	1.550652e-01	2.172674e-01	-1.661400e-01	-3.329901e-01	8.078835e-03	3.121395e-02	6.764757e-03	7.002598e-03	6.306993e-03	6.528740e-03	1.474260e+02	1.879898e+03	3.653842e+03	2.742865e+01	7.554789e+01	5.448430e+01	6.348383e+01	7.548906e+01	2.668351e+01	9.863476e+01	1.238514e+02	1.110798e+01	5.185151e+00	1.503102e+00	9.710549e-01	1.160175e+01	7.860553e-02	2.278663e-02	1.472094e-02	1.758794e-01	5.761279e-02	1.670113e-02	1.078950e-02	1.289083e-01
5.715780e+00	1.749542e-01	-2.348691e-02	-8.333673e-02	1.606010e-01	2.394938e-01	-1.818264e-01	-3.708347e-01	1.592268e-02	4.181895e-02	3.205949e-03	3.320732e-03	2.986279e-03	3.093197e-03	1.661123e+02	1.842454e+03	3.779731e+03	4.436864e+01	7.426049e+01	5.615478e+01	6.388053e+01	6.915554e+01	1.230141e+01	4.243552e+01	5.465857e+01	6.133989e+00	2.121513e+00	6.598200e-01	4.142762e-01	3.960587e+00	3.216158e-02	1.000270e-02	6.280318e-03	6.004146e-02	2.357237e-02	7.331334e-03	4.603069e-03	4.400652e-02
6.805950e+00	1.469303e-01	-4.112307e-02	-8.900831e-02	1.690720e-01	2.715969e-01	-2.126353e-01	-4.464945e-01	2.732721e-02	5.235108e-02	2.325933e-03	2.418414e-03	2.242733e-03	2.331906e-03	1.788986e+02	1.904628e+03	4.551208e+03	6.489702e+01	6.520241e+01	5.809729e+01	6.453469e+01	6.243549e+01	8.487728e+00	2.879563e+01	4.127924e+01	5.125240e+00	1.359180e+00	4.331207e-01	2.598350e-01	2.262466e+00	2.060482e-02	6.565996e-03	3.939030e-03	3.429839e-02	1.510201e-02	4.812452e-03	2.887055e-03	2.513851e-02
8.104040e+00	1.233952e-01	-3.863465e-02	-9.716676e-02	1.917410e-01	3.169334e-01	-2.584417e-01	-5.134976e-01	1.624451e-02	5.007806e-02	2.145472e-03	2.245322e-03	2.108704e-03	2.206843e-03	1.708789e+02	2.144366e+03	5.164678e+03	4.331659e+01	6.831665e+01	5.882655e+01	6.328404e+01	7.202777e+01	7.012153e+00	2.599635e+01	3.788974e+01	3.631474e+00	1.175589e+00	3.473011e-01	2.101701e-01	2.401714e+00	1.782163e-02	5.264994e-03	3.186124e-03	3.640935e-02	1.306210e-02	3.858902e-03	2.335224e-03	2.668571e-02
