# export_mt_object_to_txt
# station_id: 08-06
# lat: 45.629
# lon: 84.381
# profile_pos_m: 13472.8856187645
# n_freq: 39
# columns: freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
freq_hz	period_s	Zxx_real	Zxx_imag	Zxy_real	Zxy_imag	Zyx_real	Zyx_imag	Zyy_real	Zyy_imag	Zxx_err	Zxy_err	Zyx_err	Zyy_err	rho_xx	rho_xy	rho_yx	rho_yy	phs_xx_deg	phs_xy_deg	phs_yx_deg	phs_yy_deg	rho_err_xx	rho_err_xy	rho_err_yx	rho_err_yy	phs_err_xx_deg	phs_err_xy_deg	phs_err_yx_deg	phs_err_yy_deg	rho_noise_std_log10_xx	rho_noise_std_log10_xy	rho_noise_std_log10_yx	rho_noise_std_log10_yy	phs_noise_std_norm_xx	phs_noise_std_norm_xy	phs_noise_std_norm_yx	phs_noise_std_norm_yy
1.187840e+00	8.418642e-01	3.381404e-02	2.020656e-02	4.003728e-02	3.347596e-02	-1.272150e-01	-7.556206e-02	-4.255295e-02	-1.984503e-02	3.719923e-03	3.785681e-03	4.199809e-03	4.274049e-03	1.654469e+02	2.904019e+02	2.334334e+03	2.350595e+02	3.086165e+01	3.989966e+01	3.070911e+01	2.500250e+01	3.124780e+01	4.213082e+01	1.325156e+02	4.279417e+01	5.410701e+00	4.156168e+00	1.626286e+00	5.215541e+00	8.202480e-02	6.300641e-02	2.465406e-02	7.906623e-02	6.011890e-02	4.617964e-02	1.806984e-02	5.795045e-02
1.414400e+00	7.070136e-01	3.640562e-02	2.696989e-02	4.289073e-02	3.870231e-02	-1.371137e-01	-9.578927e-02	-4.203900e-02	-1.117748e-02	2.505728e-03	2.592543e-03	2.814512e-03	2.912025e-03	1.838116e+02	2.988527e+02	2.505070e+03	1.694370e+02	3.653166e+01	4.206141e+01	3.493860e+01	1.488952e+01	2.033149e+01	2.682276e+01	8.430668e+01	2.268549e+01	3.168758e+00	2.571218e+00	9.641281e-01	3.835594e+00	4.803754e-02	3.897899e-02	1.461593e-02	5.814660e-02	3.520842e-02	2.856909e-02	1.071253e-02	4.261772e-02
1.684170e+00	5.937643e-01	3.635541e-02	2.714093e-02	5.045883e-02	4.594556e-02	-1.441615e-01	-1.016183e-01	-4.747602e-02	-1.434787e-02	2.257417e-03	2.342279e-03	2.528243e-03	2.623286e-03	1.547899e+02	3.502183e+02	2.339417e+03	1.849823e+02	3.674298e+01	4.231960e+01	3.517972e+01	1.681550e+01	1.540371e+01	2.404087e+01	6.706793e+01	1.956829e+01	2.850855e+00	1.966545e+00	8.212962e-01	3.030508e+00	4.321822e-02	2.981231e-02	1.245064e-02	4.594171e-02	3.167617e-02	2.185050e-02	9.125514e-03	3.367231e-02
2.005380e+00	4.986586e-01	4.042054e-02	2.917035e-02	5.581489e-02	5.320518e-02	-1.544528e-01	-1.070669e-01	-5.091647e-02	-1.672097e-02	2.068014e-03	2.151183e-03	2.320179e-03	2.413489e-03	1.569252e+02	3.755305e+02	2.230601e+03	1.813885e+02	3.581691e+01	4.362872e+01	3.472977e+01	1.818018e+01	1.302077e+01	2.095255e+01	5.507686e+01	1.633755e+01	2.377041e+00	1.598395e+00	7.073590e-01	2.580298e+00	3.603531e-02	2.423125e-02	1.072338e-02	3.911664e-02	2.641156e-02	1.775995e-02	7.859544e-03	2.866998e-02
2.387870e+00	4.187833e-01	4.278492e-02	3.162023e-02	6.316299e-02	5.965250e-02	-1.644066e-01	-1.151127e-01	-5.646555e-02	-1.978346e-02	2.024889e-03	2.100803e-03	2.272705e-03	2.357909e-03	1.501224e+02	4.003415e+02	2.136455e+03	1.898679e+02	3.646629e+01	4.336274e+01	3.499858e+01	1.930859e+01	1.142757e+01	1.936112e+01	4.838600e+01	1.496520e+01	2.180725e+00	1.385455e+00	6.488115e-01	2.257999e+00	3.305922e-02	2.100314e-02	9.835812e-03	3.423068e-02	2.423028e-02	1.539395e-02	7.209017e-03	2.508888e-02
2.843310e+00	3.517028e-01	4.397919e-02	3.430014e-02	6.894988e-02	6.775547e-02	-1.728173e-01	-1.244905e-01	-6.158932e-02	-2.188683e-02	1.325856e-03	1.377339e-03	1.492015e-03	1.549950e-03	1.385606e+02	4.162557e+02	2.020666e+03	1.903030e+02	3.795129e+01	4.449941e+01	3.576744e+01	1.956355e+01	6.587785e+00	1.186162e+01	2.831025e+01	9.025336e+00	1.362047e+00	8.163498e-01	4.013670e-01	1.358659e+00	2.064828e-02	1.237565e-02	6.084619e-03	2.059691e-02	1.513386e-02	9.070553e-03	4.459634e-03	1.509621e-02
3.385610e+00	2.953677e-01	4.831058e-02	4.040143e-02	7.723410e-02	7.522727e-02	-1.848930e-01	-1.415520e-01	-6.737879e-02	-1.854348e-02	1.348513e-03	1.397927e-03	1.512301e-03	1.567717e-03	1.483702e+02	4.348488e+02	2.028393e+03	1.826955e+02	3.990524e+01	4.424586e+01	3.743728e+01	1.538757e+01	6.353969e+00	1.127639e+01	2.634699e+01	8.196873e+00	1.226849e+00	7.428901e-01	3.721103e-01	1.285325e+00	1.859871e-02	1.126202e-02	5.641094e-03	1.948519e-02	1.363166e-02	8.254334e-03	4.134559e-03	1.428139e-02
4.031340e+00	2.480565e-01	5.124824e-02	4.194544e-02	8.447099e-02	8.152784e-02	-1.951893e-01	-1.523165e-01	-6.870293e-02	-1.408718e-02	1.351078e-03	1.397124e-03	1.513910e-03	1.565505e-03	1.377875e+02	4.329895e+02	1.925819e+03	1.545244e+02	3.929949e+01	4.398426e+01	3.796679e+01	1.158759e+01	5.622064e+00	1.030585e+01	2.355148e+01	6.898638e+00	1.168903e+00	6.818662e-01	3.503445e-01	1.278965e+00	1.772026e-02	1.033691e-02	5.311130e-03	1.938878e-02	1.298781e-02	7.576292e-03	3.892716e-03	1.421073e-02
4.800240e+00	2.083229e-01	5.353337e-02	4.599748e-02	9.048766e-02	9.371981e-02	-2.001843e-01	-1.679300e-01	-7.478637e-02	-1.571630e-02	1.323876e-03	1.366668e-03	1.484757e-03	1.532750e-03	1.314363e+02	4.477808e+02	1.801375e+03	1.540850e+02	4.067017e+01	4.600522e+01	3.999251e+01	1.186797e+01	4.930701e+00	9.395060e+00	2.047204e+01	6.180948e+00	1.074697e+00	6.010723e-01	3.255739e-01	1.149178e+00	1.629212e-02	9.112098e-03	4.935615e-03	1.742124e-02	1.194108e-02	6.678581e-03	3.617488e-03	1.276865e-02
5.715780e+00	1.749542e-01	5.730272e-02	5.067739e-02	1.022483e-01	1.059225e-01	-2.177655e-01	-1.888752e-01	-7.887139e-02	-1.260468e-02	8.495616e-04	8.710228e-04	9.499750e-04	9.739728e-04	1.296654e+02	4.802633e+02	1.841251e+03	1.413600e+02	4.148891e+01	4.601116e+01	4.093617e+01	9.079834e+00	2.880079e+00	5.682855e+00	1.213574e+01	3.447525e+00	6.363159e-01	3.389845e-01	1.888190e-01	6.986725e-01	9.646382e-03	5.138915e-03	2.862446e-03	1.059169e-02	7.070176e-03	3.766494e-03	2.097989e-03	7.763027e-03
